클러스터,00시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
217,57934,28674,20115,17700,42762,78072,131153,325033,473390,385737,318641,339827,358375,395130,406012,457677,492474,543103,540373,349116,292988,284657,235674,128500
218,5377,887,0,0,2958,8120,25381,68942,67112,39256,27923,27326,28621,29582,29910,40770,53105,52165,58930,44897,32362,29824,26647,13572
219,20763,6534,2424,3060,22666,42359,80585,180413,227014,150333,117012,116892,124442,127836,124456,142640,161020,167792,186658,157331,118039,100976,89509,50084
220,46913,9902,4307,2971,42394,89474,171803,383399,556845,364211,309380,300548,350840,338653,332926,396994,447278,453883,491305,437125,305679,268754,230345,128419
221,10184,1710,0,1411,16624,22448,39162,94183,103812,74843,63323,60566,65557,65898,67450,84654,88512,82396,85956,78365,59217,52104,45358,27024
222,15016,1661,475,278,5998,22126,51398,117595,170966,118176,83373,80803,88572,94208,92956,110932,128132,133669,161061,125678,99602,94918,93477,48404
223,9726,1218,885,865,17980,41887,61382,124357,157408,117100,103940,98442,100481,103965,104087,119824,123039,141075,138156,101250,78550,69830,60506,34561
224,22024,2025,1268,1168,9110,35357,85013,213262,260136,187053,163251,166840,175708,191163,193952,232928,250346,232842,250285,187057,141218,126460,113507,65969
225,26217,8446,5562,3837,15087,50061,103685,215256,321642,226602,176113,170260,190788,199593,201721,223528,252631,285373,317791,253473,193685,182270,166500,95450
226,108300,14626,9932,7729,73001,296002,462859,1067361,1466162,978967,645210,582146,613524,632454,612306,686518,810463,1030124,1325305,1052259,761900,714349,665963,390531
227,19673,4380,2000,1448,38168,57167,85251,180354,235888,200934,160556,156677,167268,172847,178218,209649,225420,216510,213315,162607,131676,120407,107443,56765
228,13229,857,198,162,7352,28540,84611,218579,247924,168042,140966,138810,148908,158992,158013,186098,213305,214909,238927,206167,150355,133495,124200,66961
229,8721,3144,2381,1776,9731,18679,38148,106889,110285,66079,62417,57588,63701,66347,64217,87938,105924,90036,93688,79260,53883,48749,36947,19318
230,15853,7477,6421,4239,14033,14911,44789,90110,169516,115311,83906,84147,91096,98935,102849,114480,128157,148470,173879,117757,93639,83752,73469,31655
231,42742,18327,20183,15735,33945,81156,103088,227806,428527,307068,249456,272731,315108,346854,346882,385790,417833,489718,571108,383358,328699,287487,231324,127325
232,10997,1916,1145,932,5880,17053,37513,104927,129483,89681,76945,74910,84289,95239,85949,103499,121314,119054,129334,100317,76545,75656,73964,34992
233,22471,5818,3975,3205,13671,53779,105789,228892,312071,233173,194901,184003,195823,201461,201956,216234,241570,267404,303662,244233,187212,177094,160554,92901
234,17278,4541,2552,2466,9904,37168,65773,159932,203784,157444,117365,109352,124280,129667,118117,142519,169372,170149,190022,143328,107551,102988,94619,53246
235,6201,6909,3861,3724,5389,5768,11358,34816,48597,33348,22707,20203,24963,23183,23758,27181,34819,42024,46478,33476,21251,20231,18789,6653
236,13924,297,2,0,4851,31794,60102,133711,279634,268859,152750,113062,112377,120537,121421,131676,138627,173273,237438,169058,118819,110066,93808,47921
237,12258,1188,0,0,8957,22685,54018,114332,139493,98254,83637,83094,86738,91252,89573,102969,112532,115232,125351,112839,83809,73346,68850,42175
238,19768,3473,2091,2012,14675,41057,84671,202332,275246,184058,151437,139562,152433,162093,153690,183956,204110,200734,228387,192470,137842,128241,114127,62867
239,22657,8869,3252,2220,16672,32364,69284,176397,179883,119896,104414,101712,106762,106141,108407,143721,168993,144454,159004,145061,108397,97465,92605,53707
240,70,0,0,0,90,382,1574,3202,4298,5700,5140,3884,4476,5702,6268,5526,5306,5386,5468,4546,3258,2900,1464,906
241,20246,2930,784,671,21103,46780,72741,163273,191630,132097,106062,104340,111579,114541,113327,136845,155195,164153,179547,162568,114868,105054,95196,55111
242,13875,1792,875,491,8713,28902,70402,175698,226953,180491,155800,136651,158460,170269,153006,185177,207834,211774,213859,161831,126937,123435,110165,53991
243,48229,13661,8525,7411,22735,88082,147927,260995,321810,252139,205629,210408,223701,248232,245572,282367,321027,344998,382506,306491,247957,225908,196653,131869
244,45081,19044,12854,11392,19495,76177,94602,212818,331862,229226,187582,187837,198925,217261,207714,218711,248192,295747,336722,225965,175043,173609,151526,96914
245,2248,0,0,0,210,3945,10106,23373,36476,27666,26628,25925,30378,34269,35542,41232,43372,45028,41785,29366,20851,20785,17917,8675
246,36703,8788,4617,3884,25807,72416,144845,334569,403751,271018,209295,195320,216908,225854,217232,263973,311978,314097,351766,284685,220594,213876,199178,103328
247,4880,1437,2059,1065,4075,8577,20693,58519,51271,30003,23940,23498,24383,25962,25725,36772,43231,38146,40773,33889,23199,20625,18492,9626
248,158826,79403,47383,38392,39141,122642,230553,551451,788314,699549,561417,587383,643920,724733,705974,781811,878586,968759,1108113,878464,707373,688537,667383,426353
