클러스터,00시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
147,60978,21787,9647,5281,35321,67279,124047,283979,391040,276200,211106,194478,205830,223737,217655,244035,313180,309176,367844,285856,227151,225521,221509,129231
148,7050,240,0,0,3166,13887,32768,59501,91602,67695,56414,56607,60047,66162,63424,69933,80208,81120,92515,74374,57479,58909,50598,23796
149,15599,3115,2988,1973,12173,100474,121704,258295,421795,242866,161013,159690,169011,181837,193205,223975,251413,310560,395730,238448,197293,201993,161994,76784
150,20043,4367,1826,1175,10323,29300,57316,143610,244784,160709,127752,129079,132134,141442,139833,150036,169592,176994,207855,160557,124071,117087,113143,69604
151,80439,5557,476,390,42621,170250,294891,683980,921710,699997,507844,467587,499220,531391,528521,597565,687548,741724,865900,703417,530474,492912,480493,274855
152,10802,2345,769,588,4891,15265,31377,79677,98724,71446,57710,53788,56767,59394,59268,69229,80798,83378,91630,77204,58858,53927,53447,32774
153,89483,31707,13133,13271,22103,100885,160259,342480,584618,457503,292988,275871,295379,344913,334175,355254,399839,470990,610578,455481,340047,348322,374845,196980
154,43320,29643,21283,25041,21942,89439,60087,91940,164147,131441,125864,136434,150692,165618,174856,180927,188238,193758,210887,177547,144584,132396,126423,84988
155,6739,1247,0,0,381,8329,24133,60956,65655,43971,33621,30069,30713,32673,34219,42618,54727,50656,52248,50602,36347,31787,32292,19384
156,30265,2946,160,193,13468,35456,78959,189912,271587,212614,208844,189558,183173,202719,200726,208880,241619,247846,245948,209032,160377,148242,146887,92403
157,12776,3098,1651,1636,11009,29563,42924,87533,126748,83599,62242,57668,63601,65979,63380,73301,83663,91956,106306,100152,71520,63731,58607,35728
158,215170,53026,19793,12796,157969,386477,621600,1304300,1847439,1413184,1200599,1216571,1330343,1408677,1442744,1593733,1786790,1863196,2019481,1666733,1235355,1140360,1059756,617544
159,3264,759,99,0,645,3114,9651,34761,38720,27231,23190,20356,21922,24454,24564,33799,42111,34710,34388,29076,20518,20184,22966,10012
160,13798,2024,388,0,8768,26164,57086,132718,202026,134269,97324,92500,98393,108401,107817,117379,135387,146345,177423,149456,113571,106908,100674,55688
161,7366,2432,536,464,3492,6145,20737,79996,78941,52845,49821,48689,51252,52978,52884,63968,87795,72150,75119,61453,45671,43800,43771,22165
162,30688,208,0,0,23164,56714,105669,235734,294982,218025,166833,152417,165172,170423,169622,190032,224331,235011,262857,235810,181258,167305,159192,94311
163,6967,1323,588,295,2650,8673,35437,95350,99358,72930,63499,58030,64910,68325,68802,82238,102276,104537,102342,82891,63591,60404,64464,30487
164,7760,2445,1517,1339,4491,10569,24751,66250,115321,61184,37634,37730,41572,44731,46231,52618,63684,74512,97387,61319,43998,42050,43217,23059
165,49907,6629,5656,3998,33883,109280,168970,365017,514662,412934,335234,310067,348485,371740,360513,406793,458581,505295,601035,519518,409327,398471,397684,258927
166,45234,9761,3203,1964,13521,40305,66968,164633,272038,187467,130007,126925,141087,158465,151847,185698,230081,234434,271054,226718,172348,177337,218872,112925
167,16233,1546,0,0,3981,21329,51642,137322,226850,162986,117678,115130,133870,150245,143590,167678,197351,215822,222922,161537,122902,120877,135405,54030
169,30756,4733,1397,1876,20915,54064,118427,262248,402775,306969,231960,220411,235927,255493,257263,287504,323664,348332,402056,330288,241005,221375,203368,117302
170,141573,6992,894,697,64131,282546,635484,1592860,2093606,1393511,1025838,942272,1010439,1062345,1033966,1176120,1375073,1523005,1832521,1456471,1078603,1039666,1031887,585772
171,13245,5013,453,0,7163,15661,44085,102475,105115,78159,60799,58970,67101,67377,68369,75950,86475,91181,105917,98468,73846,68850,66691,41586
172,7171,636,0,0,4988,21000,51077,148523,205596,155640,120014,117062,125119,137710,133806,149123,178696,169278,179819,119958,92018,94357,82993,43311
174,23622,850,0,14,12977,41742,64563,182292,243531,181893,162576,147613,150756,162743,157512,175930,205646,213357,226271,181995,140310,139050,133403,91558
175,17718,22,0,0,2729,23309,60014,161085,184631,136398,112626,108189,119109,127441,125444,141788,171289,178334,200120,165717,122374,115007,114407,69373
176,11479,1238,464,0,7834,18929,33410,68881,92008,67600,51785,47168,51787,54942,53696,63554,73675,73848,74775,61230,46226,43269,44342,29305
177,7214,2064,578,775,5837,11295,30548,88886,96195,52259,40150,37407,38126,40846,40284,47424,58624,59683,60122,51202,34913,31831,29086,17887
178,9370,2195,218,0,5393,18796,45451,113930,134184,76770,58258,52669,58397,62350,60745,75211,93486,92621,99530,83481,59467,54230,55894,32830
179,46656,21520,10602,3855,21168,29836,82176,198820,311457,208931,142291,135321,148773,154744,158011,176845,215953,233292,303421,225934,173112,171217,164852,93082
180,55925,10740,8379,6063,35078,87714,159677,377814,511325,374907,292118,289019,313966,337932,339547,376417,442827,479940,580550,477454,350445,330203,348931,188483
181,8403,1087,271,18,2236,10965,22179,61686,85494,59239,49691,43624,49115,54261,50251,59416,71925,71468,77640,61683,47156,42233,43598,28064
