클러스터,00시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
179,45297,140388,128276,143324,152412,154327,173943,209566,228585,296104,220352,166758,162349,162714,91556
180,53953,287661,276480,304611,331476,330541,368206,423869,474104,566914,457034,337469,318861,325805,181003
181,7608,48045,42853,50015,55959,52495,56739,69930,71205,76031,60688,45577,41630,42456,26727
182,6636,39769,36458,44155,49839,46062,47774,53602,62962,68431,54279,40710,39898,39498,24816
183,25156,198673,190810,208113,220394,218090,247016,274886,335475,415413,317803,219349,221798,158084,92812
184,42317,239453,253584,274260,300146,323855,331217,324912,330694,342512,224213,151140,136214,119810,69619
185,82847,273767,252369,282116,287441,290260,327798,407979,406821,461649,412265,312524,300928,295060,201330
186,18535,154541,137803,148194,158812,154745,173509,205829,227558,292252,213567,152794,140418,136578,78103
187,19587,154204,137763,149337,161782,160940,181365,207234,231726,290995,219656,153187,143103,134333,72450
188,7656,55702,48484,51729,53552,54127,64047,77603,104476,127904,100020,65402,63388,52087,29108
189,2079,33239,26824,28496,29107,25218,33902,31798,42719,47109,29215,24114,20767,17480,12032
190,16675,101881,96277,102856,109967,103450,114848,128801,128673,140747,121996,88098,85435,82458,47192
191,32883,231357,212922,238811,243467,246898,285291,354079,350583,417053,342130,247136,235634,235152,135056
192,52419,267530,247912,271449,287467,293078,325826,383819,414422,463885,366390,280134,267768,250021,150744
193,65237,410091,372867,399701,426505,411379,460895,523295,588009,682007,508782,376972,357977,344540,201997
194,7231,38493,35330,36230,41601,39723,49292,56912,55481,70864,49400,38179,38043,39098,22933
195,22199,99557,99903,102557,108544,106824,116592,131513,145843,169137,145013,107530,101828,99843,65126
196,159152,819659,895399,962531,1034149,1024827,1128811,1213394,1370212,1566279,1011968,823203,810738,722314,427877
197,10418,73566,69570,79084,85076,86206,95679,109691,115286,131084,96116,69116,64892,62169,34817
198,22876,101203,97771,107200,118472,108123,125528,150202,160881,186445,169247,124752,121654,132809,79254
199,9566,70476,62083,69900,76199,73448,85534,98326,97647,109848,90984,65922,64858,60428,32872
200,20041,117782,118577,124247,133909,134715,148285,169954,180802,179272,166205,117964,105914,94735,57769
201,14993,102703,95177,108117,109902,109308,121689,137656,154301,183538,150200,110193,104644,99129,62054
202,43004,190802,181697,193816,213317,208663,231538,255006,298691,378900,312235,218237,206515,199040,123668
203,39730,252525,231188,251018,267917,259931,290155,336421,366939,422904,350888,249710,231675,234734,134020
204,8118,28213,24478,26926,30100,29674,33971,43415,43208,45932,45003,28984,25994,26208,15719
205,53507,289400,271497,284291,338004,330720,364727,391008,472282,633599,450413,323364,304324,285921,131215
206,7420,35435,38088,37511,37838,36599,43687,51184,52410,53973,46329,36041,34382,35499,22567
207,128799,576236,571223,667909,731594,709345,770048,875605,953622,1042978,813620,645499,633323,648890,387060
208,11480,100769,92013,109891,110479,105105,120950,175153,177843,201959,176615,117449,112855,93840,58065
209,4453,16268,15468,16957,17614,17336,19699,21415,25511,31808,26167,18574,17977,18962,11179
210,529,2517,3143,2987,2929,2997,5991,9821,8835,7096,3672,2355,1935,1851,1118
211,65125,307599,278604,296932,330092,324830,363469,416573,486871,602638,448368,344662,356477,344577,215182
212,21162,143950,130311,141930,162789,156527,168787,196063,207802,238998,191536,140938,139235,142875,64393
213,47428,315294,291459,316073,336147,326373,371976,429095,459850,510341,416583,309807,293552,281447,162707
214,18275,103857,95000,109403,113093,111338,125582,148238,151804,168527,159028,114534,104295,98704,62632
215,5383,29812,27690,31998,33249,34027,35820,43390,41800,42778,36667,28151,25506,23308,13571
216,1332,26012,22491,22443,25774,25605,26165,30167,30366,36649,25010,18005,18166,15940,7094
217,57332,265101,278747,291782,331477,334702,349277,379780,436174,474615,307539,249567,275578,248951,136318
218,6615,24419,21249,24297,24458,25847,30457,42794,49626,54819,39678,31522,28040,26105,14353
219,28059,124295,113702,123656,129876,123081,141213,164225,172536,194986,163896,121528,108069,101674,66206
220,60303,345289,312498,363856,374205,367304,423009,487964,530666,570254,520766,358101,327956,297383,173769
221,11959,60779,53005,60919,62086,61058,70194,83998,78720,80601,73279,56010,48673,46272,29845
222,20832,101764,90418,100491,108341,106169,122663,144083,151826,186100,151725,112853,108766,109504,62836
223,13140,116682,110625,114373,119132,119539,137165,147283,161560,165272,129005,94434,86526,78080,46565
224,25601,151123,143441,155858,169644,167426,193804,224550,227872,239831,186872,143849,132362,130507,77399
225,26256,177280,167707,193802,204669,199412,226250,261440,296161,342214,268145,204022,195788,189876,115418
226,152794,805402,706227,745815,799530,787219,868552,994713,1274223,1673892,1368091,948205,932576,886475,582930
227,24354,176539,164147,177974,188020,188173,214553,240627,246034,248783,185569,147929,146709,134552,73715
228,18606,176891,165270,183318,191383,192780,217307,257205,261798,297063,254523,187597,168545,164200,100777
229,9983,60970,61025,65108,68511,63279,76788,99401,86833,90862,80158,54817,50139,43480,26164
230,15667,65066,62263,70702,74980,78482,86346,103489,112830,137486,98419,72741,71387,65163,32771
