클러스터,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,월
153,45449,384,0,0,378,35301,108256,288911,658591,649839,349717,334244,366249,459599,424262,456879,481513,601750,923254,639202,404118,435194,431408,211339,2019-01
154,45174,438,0,0,2397,77073,107910,223155,653208,398904,329937,334749,364713,421077,445416,468381,484425,596313,818487,652170,439635,373368,327852,206931,2019-01
157,7095,0,0,0,11,11743,29547,68366,117699,67188,44748,39207,42873,43910,42214,45474,51271,60510,81132,72889,43570,39997,37890,23558,2019-01
158,2030,0,0,0,20,1882,6417,12965,27062,16883,13086,14490,16661,18819,18890,20587,24531,30257,39803,29110,18486,19614,18643,10804,2019-01
160,12077,162,0,0,66,14757,36783,86629,174929,102734,61440,56525,60314,65370,64390,69312,77169,95575,144847,107006,72229,71239,66706,39897,2019-01
161,3479,230,0,0,0,5176,17788,44602,49323,31037,27086,27756,29681,29494,29590,31369,33663,38479,48291,40318,24769,20870,20609,11750,2019-01
162,8972,4,0,0,4,11804,31502,81141,112235,63806,44290,44019,46635,50108,46476,52559,58318,70525,99097,89899,53231,48975,47286,29453,2019-01
163,6291,46,0,0,43,7960,31731,81338,111064,71385,60672,58940,61361,64575,63237,65905,72173,90042,96920,68459,46788,41626,38914,20587,2019-01
165,29106,4462,0,0,4290,32838,61854,174462,282424,213873,138433,130390,139889,160078,151939,161135,177557,214378,298959,259220,166399,162358,165077,100081,2019-01
166,7179,168,2,0,11,9000,30615,76144,114324,73264,50047,48524,49377,53887,63531,61711,60286,77273,110392,84386,51925,54079,51504,26852,2019-01
169,4474,0,0,0,139,5053,15970,40079,70219,48567,34225,34246,35907,39241,36952,40334,43923,54665,71039,55214,36277,33769,30969,17053,2019-01
171,7244,431,0,0,14,9627,27910,64345,70143,49194,41480,37194,38083,38068,38414,39763,44546,49676,65510,65809,40793,34785,31220,20857,2019-01
172,4025,88,0,0,88,4001,18981,55159,157753,96136,70348,74981,77746,90448,88711,92390,100003,110218,164782,79539,53916,54193,42255,19485,2019-01
173,13992,1142,0,0,222,37302,76156,183163,268272,174927,130263,141252,152976,165814,162898,175378,186006,201218,262887,201741,134073,127050,106964,67337,2019-01
174,7040,172,0,0,23,3554,8657,23702,52483,48612,34875,33974,37190,41762,38743,40932,46148,58990,63390,45659,33714,33005,32503,22169,2019-01
175,15623,46,0,0,1963,19246,50850,125842,137323,98955,81452,79320,89390,94910,94627,100060,107628,122787,158543,137209,89675,78685,73165,48693,2019-01
176,6103,0,0,0,0,10649,25428,64383,79354,46560,35596,31695,35824,37163,34328,37045,43565,52590,64081,52596,31355,28836,27680,15195,2019-01
177,21462,29,0,0,298,28971,65477,171765,234146,150011,112145,107894,119704,123220,121257,129809,145453,164332,217368,200395,126983,114400,108222,68675,2019-01
179,9815,0,0,0,7,10862,42682,126950,337183,177839,92255,86302,88361,98569,97507,109127,115285,154707,289961,168290,101872,97978,80244,36779,2019-01
180,23718,140,0,0,13,23868,84432,256211,440807,271030,187511,187929,200595,221359,220250,231875,260665,315698,501000,353972,237944,202075,186561,94742,2019-01
182,5772,0,0,0,1,5176,9213,17014,43868,33330,24911,27051,31410,38451,34068,35805,41413,52099,72873,55054,38232,39509,40702,28052,2019-01
184,6853,126,0,0,63,9970,61712,124801,371399,243507,197831,221695,244272,262576,275420,274321,269932,312184,415179,235330,129640,102682,79771,37449,2019-01
185,42744,58,0,0,582,56942,128112,336620,457788,295230,219752,212008,235022,242594,238140,255342,286132,322130,427294,395782,250804,225760,213972,136166,2019-01
186,4155,642,0,0,32,11877,24308,46742,74102,44652,31520,28713,29735,30105,29118,31838,37489,49221,63798,46344,28758,29452,26851,14742,2019-01
190,6611,0,0,0,10,10434,28684,80865,99403,59618,41682,39829,42032,43048,38619,40751,44506,52579,69599,69343,40869,40209,36211,22990,2019-01
191,10905,113,0,0,14,19262,40819,103021,202902,106510,67875,64584,69318,70277,68344,72932,81281,100205,163168,117403,74503,68824,60902,35708,2019-01
194,10651,2,0,0,72,12615,40169,130545,230319,112356,75140,67191,70954,78218,74067,77731,84840,112621,172743,111666,73681,67406,65019,36898,2019-01
195,23608,2943,0,0,268,31472,62208,150489,227499,136900,97387,95202,105425,110861,109708,115514,131895,157577,208576,184708,115475,103779,96666,64999,2019-01
196,32311,580,0,0,1131,52080,187422,549223,1416192,731540,453740,497191,502202,571017,580713,611455,624405,816726,1339804,722165,518792,446465,330955,169965,2019-01
197,6632,5,0,0,24,11686,27798,67710,126830,72338,51202,51322,57627,64304,62008,67907,71254,76264,110800,76947,50795,47835,43427,24300,2019-01
198,16660,1630,0,0,119,21695,66587,169130,180951,118718,91026,83330,91978,93230,89068,93638,104318,120409,150567,142771,94178,83612,80180,55431,2019-01
199,3722,0,0,0,4,6740,24490,56701,87374,53524,39590,36043,39247,42249,39885,42072,46838,54828,79988,53434,35783,37345,33625,16030,2019-01
201,16343,116,1,0,115,25007,51322,114470,250534,154746,105696,103081,111721,119217,118704,120702,132814,164830,225024,171355,109544,99131,88574,65949,2019-01
202,26494,3092,0,0,174,33282,77618,172536,340962,198866,120914,111260,121954,131876,133564,143418,163620,207488,316608,239170,153812,144560,131406,79040,2019-01
203,3302,16,0,0,0,4577,17067,39308,42390,25994,24889,24225,24962,25710,24388,26446,30746,34929,43354,41023,22526,20333,18944,10451,2019-01
205,11120,1772,1,0,226,12642,53078,158872,450032,335992,175895,170699,171721,203218,207817,219862,234235,306441,489070,309841,202180,176413,128556,46097,2019-01
207,35798,371,0,0,135,33089,93783,198513,401423,346895,258420,268644,319587,351680,319436,343382,372689,447875,520742,396570,280436,272693,265249,149658,2019-01
208,8666,960,0,0,244,14496,32151,87166,117101,60346,40347,38328,42402,40908,39979,44816,49657,62037,91587,77087,46756,44561,38481,24534,2019-01
209,2272,388,0,0,28,1687,6420,13819,24008,16567,13625,12470,13147,13659,13395,13674,14658,16398,21313,13703,9079,8617,7728,4511,2019-01
